Arctopsyche sp. AA,AAアミメシマトビケラ
Diaphanosoma dubium,Diaphanosoma dubium
Diaphanosoma excisum,Diaphanosoma excisum
Diaphanosoma macrophtalma,Diaphanosoma macrophtalma
Diaphanosoma orientalis,Diaphanosoma orientalis
Diathetes nitidicollis,Diathetes nitidicollis
Diatoma,Diatoma属
Dicranomyia basifusca,Dicranomyia basifusca
Dicranomyia basiseta,Dicranomyia basiseta
Dicranomyia boniniana,Dicranomyia boniniana
Dicranomyia curtivena,Dicranomyia curtivena
Dicranomyia depauperata,Dicranomyia depauperata
Dicranomyia euphileta,Dicranomyia euphileta
Dicranomyia fusca,Dicranomyia fusca
Dicranomyia globithorax globithorax,Dicranomyia globithorax globithorax
Dicranomyia halobia,Dicranomyia halobia
Dicranomyia kirishimana,Dicranomyia kirishimana
Dicranomyia kongosana,Dicranomyia kongosana
Dicranomyia medidorsalis,Dicranomyia medidorsalis
Dicranomyia ochripes,Dicranomyia ochripes
Dicranomyia okinawensis,Dicranomyia okinawensis
Dicranomyia pacifica,Dicranomyia pacifica
Dicranomyia pammelas,Dicranomyia pammelas
Dicranomyia paramorio paramorio,Dicranomyia paramorio paramorio
Dicranomyia paramorio platysoma,Dicranomyia paramorio platysoma
Dicranomyia parvincisa,Dicranomyia parvincisa
Dicranomyia paupercula,Dicranomyia paupercula
Dicranomyia poli,Dicranomyia poli
Dicranomyia pseudomorio,Dicranomyia pseudomorio
Dicranomyia riukiuensis,Dicranomyia riukiuensis
Dicranomyia shinanoensis,Dicranomyia shinanoensis
Dicranomyia submorio,Dicranomyia submorio
Dicranomyia suspensa,Dicranomyia suspensa
Dicranomyia tokara,Dicranomyia tokara
Dicranomyia tokunagai,Dicranomyia tokunagai
Dicranomyia tokunagana,Dicranomyia tokunagana
Dicranomyia trifilamentosa,Dicranomyia trifilamentosa
Dicranomyia tristis,Dicranomyia tristis
Dicranomyia unispinosa,Dicranomyia unispinosa
Dicranomyia variispina,Dicranomyia variispina
Dicranophorus grandis,Dicranophorus grandis
Dicranophragma melaleucum melaleucum,Dicranophragma melaleucum melaleucum
Dicranophragma microspila,Dicranophragma microspila
Dicranophragma perlatum,Dicranophragma perlatum
Dicranophragma subnemorale,Dicranophragma subnemorale
Dicranophragma transitorium,Dicranophragma transitorium
Dicranophragma upsilon,Dicranophragma upsilon
Dicranoptycha caesia caesia,Dicranoptycha caesia caesia
Dicranoptycha caesia pallidibasis,Dicranoptycha caesia pallidibasis
Dicranoptycha edashigeana,Dicranoptycha edashigeana
Dicranoptycha hasegawai,Dicranoptycha hasegawai
Dicranoptycha machidana,Dicranoptycha machidana
Dicranoptycha stygipes,Dicranoptycha stygipes
Dicranoptycha suensoniana,Dicranoptycha suensoniana
Dicranoptycha venosa,Dicranoptycha venosa
Dicranota angulata,Dicranota angulata
Dicranota babai,Dicranota babai
Dicranota basistylata,Dicranota basistylata
Dicranota clausa,Dicranota clausa
Dicranota consors,Dicranota consors
Dicranota flavibasis flavibasis,Dicranota flavibasis flavibasis
Dicranota idiopyga,Dicranota idiopyga
Dicranota macracantha,Dicranota macracantha
Dicranota nippoalpina,Dicranota nippoalpina
Dicranota nipponica,Dicranota nipponica
Dicranota ontakensis,Dicranota ontakensis
Dicranota paraconsors,Dicranota paraconsors
Dicranota persessilis,Dicranota persessilis
Dicranota platymera,Dicranota platymera
Dicranota polymera,Dicranota polymera
Dicranota profunda,Dicranota profunda
Dicranota sicaria,Dicranota sicaria
Dicranota spina,Dicranota spina
Dicranota subconsors,Dicranota subconsors
Dicranota trilobulata,Dicranota trilobulata
Dicranota tuberculata,Dicranota tuberculata
Dicranota yanoana,Dicranota yanoana
Dicranota yezoensis yezoensis,Dicranota yezoensis yezoensis
Dicranotropis cervina,Dicranotropis cervina
Dicrotendipes flexus,Dicrotendipes flexus
Dicrotendipes tamaviridis,Dicrotendipes tamaviridis
Dictenidia pictipennis fasciata,Dictenidia pictipennis fasciata
Dictyoptera barovskii,Dictyoptera barovskii
Dictyoptera pseudovelata,Dictyoptera pseudovelata
Dictyoptera sapporoensis,Dictyoptera sapporoensis
Dictyosphaerium,Dictyosphaerium属
Didymosphenia,Didymosphenia属
Dieuches siamicus,Dieuches siamicus
Dikraneura orientalis,Dikraneura orientalis
Dikraneura sachalinensis,Dikraneura sachalinensis
Dilophus brevirostrum,Dilophus brevirostrum
Dilophus kagoshimaensis,Dilophus kagoshimaensis
Dineura betulivora,Dineura betulivora
Dineura cuneiformis,Dineura cuneiformis
Dineura quercirora,Dineura quercirora
Dineura virididorsata,Dineura virididorsata
Dinobryon,Dinobryon属
Diostracus fasciatus,Diostracus fasciatus
Diostracus flavipes,Diostracus flavipes
Diostracus genualis,Diostracus genualis
Diostracus inornatus,Diostracus inornatus
Diostracus punctata,Diostracus punctata
Diostracus tarsalis,Diostracus tarsalis
Diostracus yukawai,Diostracus yukawai
Diplectrona albomarginata,Diplectrona albomarginata
Diplectrona difficultata,Diplectrona difficultata
Diplectrona tohokuensis,Diplectrona tohokuensis
Diplodoma herminata,Diplodoma herminata
Diploneis,Diploneis属
Dirhagus sahlbergi,Dirhagus sahlbergi
Dirhinus bakeri,Dirhinus bakeri
Dirhinus banksi,Dirhinus banksi
Discobola annulata,Discobola annulata
Discobola boninensis,Discobola boninensis
Discobola fumihalterata,Discobola fumihalterata
Discobola margarita,Discobola margarita
Discobola moiwana,Discobola moiwana
Discobola paravispinula,Discobola paravispinula
Disparalona hamata,Disparalona hamata
Disparalona rostrata,Disparalona rostrata
Dixa trilineata jezoensis,Dixa trilineata jezoensis
Doithrix fujiseptimus,Doithrix fujiseptimus
Dolerus germanicus,Dolerus germanicus
Dolerus gonager,Dolerus gonager
Dolerus nipponicus,Dolerus nipponicus
Dolichoctis striatus formosanus,Dolichoctis striatus formosanus
Dolichopeza bispinula,Dolichopeza bispinula
Dolichopeza honshiuensis,Dolichopeza honshiuensis
Dolichopeza katoi katoi,Dolichopeza katoi katoi
Dolichopeza tarsalba,Dolichopeza tarsalba
Dolichopeza tarsalis,Dolichopeza tarsalis
Dolichopus crassicosta,Dolichopus crassicosta
Dolichospermum-Sphaerospermopsis,Dolichospermum-Sphaerospermopsis属
Dolophilodes distincta,Dolophilodes distincta
Dolophilodes kaishoensis,Dolophilodes kaishoensis
Dolophilodes niitakaensis,Dolophilodes niitakaensis
Doratulina biglumis,Doratulina biglumis
Doratulina nitobei,Doratulina nitobei
Dorytomus galloisi,Dorytomus galloisi
Dromaeolus curvicarina,Dromaeolus curvicarina
Dromius hagai,Dromius hagai
Drosophila ikedai,Drosophila ikedai
Drosophila manonoensis,Drosophila manonoensis
Drosophila pirka,Drosophila pirka
Drosophila tsigana,Drosophila tsigana
Dryadodacryma continuum,Dryadodacryma continuum
Dryxo lispoidea,Dryxo lispoidea
Dysepicritus rufescens,Dysepicritus rufescens
Nigrobaetis sp. D,Dコカゲロウ
Ecdyonurus sp. EA,EAタニガワカゲロウ
Eubrianax sp. EB,EBマルヒラタドロムシ
Edaphotrypetes ovipennis,Edaphotrypetes ovipennis
Edaphotrypetes parallelipennis,Edaphotrypetes parallelipennis
Edwardsiana menzbieri,Edwardsiana menzbieri
Eganalium japonicum,Eganalium japonicum
Elakatothrix,Elakatothrix属
Elephantomyia dietziana plumbea,Elephantomyia dietziana plumbea
Elephantomyia palmata,Elephantomyia palmata
Elephantomyia subterminalis,Elephantomyia subterminalis
Elephantomyia tetracantha,Elephantomyia tetracantha
Eloeophila amamiana,Eloeophila amamiana
Eloeophila dietziana,Eloeophila dietziana
Eloeophila kintaro,Eloeophila kintaro
Eloeophila lilliputina,Eloeophila lilliputina
Eloeophila subaprilina subaprilina,Eloeophila subaprilina subaprilina
Eloeophila subaprilina yezoensis,Eloeophila subaprilina yezoensis
Eloeophila ussuriana iwatensis,Eloeophila ussuriana iwatensis
Elophila melagynalis,Elophila melagynalis
Empoa albifascia,Empoa albifascia
Empoa omani,Empoa omani
Empoasca aino,Empoasca aino
Empoasca atika,Empoasca atika
Empoasca buzensis,Empoasca buzensis
Empoasca flavovittella,Empoasca flavovittella
Empoasca furcata,Empoasca furcata
Empoasca hiromichii,Empoasca hiromichii
Empoasca limbifera,Empoasca limbifera
Empoasca matsudai,Empoasca matsudai
Empoasca mochidai,Empoasca mochidai
Empoasca okadai,Empoasca okadai
Empoasca okubella,Empoasca okubella
Empoasca reducta,Empoasca reducta
Empoasca sakaii,Empoasca sakaii
Empoasca todo,Empoasca todo
Empoasca vitis,Empoasca vitis
Endaeus hikosanus,Endaeus hikosanus
Endaeus nychiommatoides,Endaeus nychiommatoides
Endochironomus impar,Endochironomus impar
Endomychus ohbayashii kojimai,Endomychus ohbayashii kojimai
Endomychus plagiatus interruptus,Endomychus plagiatus interruptus
Endomychus tomishimai,Endomychus tomishimai
Enza otiosus,Enza otiosus
Epaphiopsis okadai tenuis,Epaphiopsis okadai tenuis
Epiacanthus ishiharai,Epiacanthus ishiharai
Epiacanthus ohdairensis,Epiacanthus ohdairensis
Epiacanthus satoi,Epiacanthus satoi
Epiacanthus semifuscus,Epiacanthus semifuscus
Epierus lucus,Epierus lucus
Epiphragma evanescens,Epiphragma evanescens
Epiphragma subfascipenne,Epiphragma subfascipenne
Epistrophe annulitarsis,Epistrophe annulitarsis
Epistrophe horishana,Epistrophe horishana
Epistrophe melanostoma,Epistrophe melanostoma
Episyron rufipes,Episyron rufipes
Episyrphus alternans,Episyrphus alternans
Episyrphus nectarinus,Episyrphus nectarinus
Epitranus erythrogaster,Epitranus erythrogaster
Epoicocladius itachisecunda,Epoicocladius itachisecunda
Epuraea kaszabi,Epuraea kaszabi
Eriocampa babai,Eriocampa babai
Eriocampa hakusana,Eriocampa hakusana
Eriocampa kurumivora,Eriocampa kurumivora
Eriocampa notoana,Eriocampa notoana
Eriocampa okui,Eriocampa okui
Erioptera alboguttata daisenica,Erioptera alboguttata daisenica
Erioptera amamiensis,Erioptera amamiensis
Erioptera bicornifera,Erioptera bicornifera
Erioptera dama,Erioptera dama
Erioptera harukawai,Erioptera harukawai
Erioptera holoxantha,Erioptera holoxantha
Erioptera honshuensis,Erioptera honshuensis
Erioptera horii,Erioptera horii
Erioptera hybrida,Erioptera hybrida
Erioptera insignis,Erioptera insignis
Erioptera juvenilis,Erioptera juvenilis
Erioptera orbitalis,Erioptera orbitalis
Erioptera orientalis,Erioptera orientalis
Erioptera persessilis,Erioptera persessilis
Ernoporus japonicus,Ernoporus japonicus
Erotides cosnardi raddensis,Erotides cosnardi raddensis
Esehabachia luteipes,Esehabachia luteipes
Euchone sp.,Euchone sp.
Eucriotettix oculatus guentheri,Eucriotettix oculatus guentheri
Eudorina,Eudorina属
Euglena,Euglena属
Eukerria saltensis,Eukerria saltensis
Eukiefferiella chuzeoctava,Eukiefferiella chuzeoctava
Eukiefferiella coerulescens,Eukiefferiella coerulescens
Eukiefferiella togaeuquinta,Eukiefferiella togaeuquinta
Eukiefferiella togaeusecunda,Eukiefferiella togaeusecunda
Eukiefferiella uemotoi,Eukiefferiella uemotoi
Eukiefferiella yaraensis,Eukiefferiella yaraensis
Eumeta kiushiuana,Eumeta kiushiuana
Eupteryx melanocephala,Eupteryx melanocephala
Eurhadina japonica,Eurhadina japonica
Eurhadina pulchella orientalis,Eurhadina pulchella orientalis
Eurhadina wagneri,Eurhadina wagneri
Euscelis tokitonis,Euscelis tokitonis
Eusphalerum torqutum,Eusphalerum torqutum
Eutolmus koreanus,Eutolmus koreanus
Eutomostethus pilosus,Eutomostethus pilosus
Eutomostethus tachikawai,Eutomostethus tachikawai
Eutomostethus togashii,Eutomostethus togashii
Euura mucronata,Euura mucronata
Euura shibayanagii,Euura shibayanagii
Euzophera diminutella,Euzophera diminutella
Exodema sublutosa,Exodema sublutosa
Exodontha dubia,Exodontha dubia
Fagineura crenativora,Fagineura crenativora
Fenella nigrita,Fenella nigrita
Filinia cornuta,Filinia cornuta
Filinia longiseta var.limnetica,Filinia longiseta var.limnetica
Filinia minuta,Filinia minuta
Filinia terminalis,Filinia terminalis
Forcipata glaucans,Forcipata glaucans
Fragilaria crotonensis,Fragilaria crotonensis
Fragilaria gracilis,Fragilaria gracilis
Fragilaria longifusiformis,Fragilaria longifusiformis
Fragilaria rumpens,Fragilaria rumpens
Fragilaria saxoplanctonica,Fragilaria saxoplanctonica
Fridericia sp.,Fridericia sp.
Frustulia,Frustulia属
Futasujinus towadensis,Futasujinus towadensis
Baetis sp. F,Fコカゲロウ
Geophagus sp.,Geophagus属
Geranomyia gifuensis,Geranomyia gifuensis
Geranomyia hakoneana,Geranomyia hakoneana
Geranomyia multipuncta,Geranomyia multipuncta
Geranomyia radialis,Geranomyia radialis
Geranomyia sakaguchii,Geranomyia sakaguchii
Geranomyia snyderi chichiensis,Geranomyia snyderi chichiensis
Geranomyia snyderi snyderi,Geranomyia snyderi snyderi
Glaucocharis mutuurella,Glaucocharis mutuurella
Glipa watanabeorum,Glipa watanabeorum
Glischrochilus parvipustulatus,Glischrochilus parvipustulatus
Glossosoma neffi,Glossosoma neffi
Glossosoma vogalanum,Glossosoma vogalanum
Glycinde nipponica,Glycinde nipponica
Glyptotendipes glaucus,Glyptotendipes glaucus
Glyptotendipes pallens,Glyptotendipes pallens
Gnophomyia acheron,Gnophomyia acheron
Gnophomyia nycteris,Gnophomyia nycteris
Gnophomyia tristis,Gnophomyia tristis
Gomesius hesione,Gomesius hesione
Gomphonema,Gomphonema属
Gomphosphaeria,Gomphosphaeria属
Gonioctena kidoi,Gonioctena kidoi
Gonium,Gonium属
Gonomyia bibarbata,Gonomyia bibarbata
Gonomyia flavocostalis,Gonomyia flavocostalis
Gonomyia gilvipennis,Gonomyia gilvipennis
Gonomyia gracilistyla,Gonomyia gracilistyla
Gonomyia horribilis,Gonomyia horribilis
Gonomyia incompleta,Gonomyia incompleta
Gonomyia kurokawae,Gonomyia kurokawae
Gonomyia luteipleura,Gonomyia luteipleura
Gonomyia nansei,Gonomyia nansei
Gonomyia necopina,Gonomyia necopina
Gonomyia omogoensis,Gonomyia omogoensis
Gonomyia quadrifila,Gonomyia quadrifila
Gonomyia sauteri,Gonomyia sauteri
Gonomyia superba,Gonomyia superba
Graphiphora augur,Graphiphora augur
Gravierella sp.,Gravierella sp.
Gymnodinium(sensu lato),Gymnodinium属(広義)
Gymnusa inexpectata,Gymnusa inexpectata
Gyrophaena defecta,Gyrophaena defecta
Gyrosigma,Gyrosigma属
Habachia ohtsukai,Habachia ohtsukai
Hadrobregmus ishiharai,Hadrobregmus ishiharai
Haematobosca carabao,Haematobosca carabao
Haemonais waldvogeli,Haemonais waldvogeli
Haltichella includens,Haltichella includens
Harmothoe waahli,Harmothoe waahli
Hartigia kamijoi,Hartigia kamijoi
Helionides singularis,Helionides singularis
Helius brevioricornis,Helius brevioricornis
Helius costofimbriatus,Helius costofimbriatus
Helius nawaianus,Helius nawaianus
Helius nipponensis,Helius nipponensis
Helius obliteratus,Helius obliteratus
Helostoma temminckii,Helostoma temminckii
Hemerodoromia sp.,Hemerodoromia sp.
Hemibeleses athaliodes,Hemibeleses athaliodes
Hemibeleses ohtshukai,Hemibeleses ohtshukai
Hemibeleses ventralis,Hemibeleses ventralis
Hemibeleses yaemugurae,Hemibeleses yaemugurae
Hemichroa kumamotoi,Hemichroa kumamotoi
Hemichroa nigrithorax,Hemichroa nigrithorax
Hemichroa yatsugatakensis,Hemichroa yatsugatakensis
Hemichromis sp.,Hemichromis属
Hemienchytraeus sp.,Hemienchytraeus sp.
Hemisphaerius takagii,Hemisphaerius takagii
Henlea sp.,Henlea sp.
Heptamelus takeuchii,Heptamelus takeuchii
Heterangaeus esakii,Heterangaeus esakii
Heterangaeus gloriosus gloriosus,Heterangaeus gloriosus gloriosus
Heterangaeus gloriosus kusunokii,Heterangaeus gloriosus kusunokii
Heterangaeus japonicus crenatus,Heterangaeus japonicus crenatus
Heterangaeus japonicus japonicus,Heterangaeus japonicus japonicus
Heterangaeus laticinctus,Heterangaeus laticinctus
Heterangaeus palidellus,Heterangaeus palidellus
Heterangaeus spectabilis,Heterangaeus spectabilis
Heterarthrus alnivorus,Heterarthrus alnivorus
Heterarthrus betulae,Heterarthrus betulae
Heterarthrus subflavipes,Heterarthrus subflavipes
Heterochyromera imerodeus,Heterochyromera imerodeus
Heterotrissocladius subpilosus,Heterotrissocladius subpilosus
Hexatoma cerberus,Hexatoma cerberus
Hexatoma fulvibasis,Hexatoma fulvibasis
Hexatoma geminata,Hexatoma geminata
Hexatoma iriomotensis,Hexatoma iriomotensis
Hexatoma ishigakiensis,Hexatoma ishigakiensis
Hexatoma issikii,Hexatoma issikii
Hexatoma japonica,Hexatoma japonica
Hexatoma jozana,Hexatoma jozana
Hexatoma kamiyai,Hexatoma kamiyai
Hexatoma kariyai,Hexatoma kariyai
Hexatoma nigrotrochanterata,Hexatoma nigrotrochanterata
Hexatoma nipponensis,Hexatoma nipponensis
Hexatoma perproducta,Hexatoma perproducta
Hexatoma stricklandi pallidibasis,Hexatoma stricklandi pallidibasis
Hexatoma subrectangularis,Hexatoma subrectangularis
Hexatoma verticalis,Hexatoma verticalis
Hinatara hakusana,Hinatara hakusana
Hinomoto niphonensis,Hinomoto niphonensis
Hobsonia florida,Hobsonia florida
Hockeria yamamotoi,Hockeria yamamotoi
Holopsis lewisi,Holopsis lewisi
Holorusia praepotens,Holorusia praepotens
Homalota mikado,Homalota mikado
Homoeusa acuminata,Homoeusa acuminata
Homorocoryphus interruptus,Homorocoryphus interruptus
Homorocoryphus verruger,Homorocoryphus verruger
Hoplocampa miyakei,Hoplocampa miyakei
Hoplocampoides longiserrus,Hoplocampoides longiserrus
Hoplolabis machidai,Hoplolabis machidai
Hoplolabis yezoana,Hoplolabis yezoana
Hoplopheromerus armatipes,Hoplopheromerus armatipes
Horiella franzi,Horiella franzi
Horiella japonica,Horiella japonica
Horiella loebli,Horiella loebli
Horiella maruyamai,Horiella maruyamai
Horiella shodoshimaensis,Horiella shodoshimaensis
Hoshihananomia auromaculata nishimurai,Hoshihananomia auromaculata nishimurai
Hoshihananomia nakanei,Hoshihananomia nakanei
Hoshihananomia ohshimana,Hoshihananomia ohshimana
Hoshihananomia pseudohananomi,Hoshihananomia pseudohananomi
Hyalopsyche sachalinica,Hyalopsyche sachalinica
Hybomitra muehlfeldi,Hybomitra muehlfeldi
Hybomitra nitidifrons nitidifrons,Hybomitra nitidifrons nitidifrons
Hydrobaenus itachigranulatus,Hydrobaenus itachigranulatus
Hydropsyche buissoni,Hydropsyche buissoni
Hydroptila sp. OA,Hydroptila sp. OA
Hydrosera,Hydrosera属
Hydrosmittia oxoniana,Hydrosmittia oxoniana
Hypena hokkaidalis,Hypena hokkaidalis
Hypena leechi,Hypena leechi
Hypena tamsi,Hypena tamsi
Hyperisus pacificus,Hyperisus pacificus
Hypocoelus yanoi,Hypocoelus yanoi
Hypsicomus sp.,Hypsicomus sp.
Hypsotropa bipunctella,Hypsotropa bipunctella
Idiocera arete,Idiocera arete
Idiocera kuwayamai,Idiocera kuwayamai
Idiocera longipennis,Idiocera longipennis
Idiocera nigrilobata,Idiocera nigrilobata
Idiocera pallens,Idiocera pallens
Idiocera serrulifera,Idiocera serrulifera
Idiocera shanntungensis,Idiocera shanntungensis
Idiocera teranishii,Idiocera teranishii
Idiognophomyia laterospinosa,Idiognophomyia laterospinosa
Igutettix oculatus,Igutettix oculatus
Iiella kojimaensis,Iiella kojimaensis
